"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Cfp",-2.0302390795301,8.0173371995046,-29.8270259933848,4.38621716088345e-18,2.37774193680781e-14,31.5956668676839
"Serinc3",1.98860596259615,9.11888667265952,29.0517924681052,7.35232509835439e-18,2.37774193680781e-14,31.1270175350866
"Ank",2.95742168583772,6.90226159077227,28.148513060399,1.3650355978429e-17,2.94301674894928e-14,30.1198732008791
"Grina",-1.78887921958179,7.52194361408372,-26.4861955305051,4.48604118854654e-17,7.25392860187975e-14,29.3237780893257
"Cxcr4",2.43285864019233,6.58439101763116,23.474453413498,4.69276310979489e-16,5.68928776520646e-13,26.9416102418267
"Fth1",-1.17921517909975,14.4517461882315,-23.3325523017425,5.27763243525645e-16,5.68928776520646e-13,26.671293152225
"Lpl",2.80112196960121,7.9629344035824,22.7586833604436,1.08385480401447e-15,9.7770758256484e-13,26.154520168142
"Ccr1",-3.0807887856052,6.65928368082678,-22.33152868987,1.23228949080363e-15,9.7770758256484e-13,25.9407604472928
"Timp2",2.1978054772225,7.56340903150154,22.2173666185213,1.36044654345757e-15,9.7770758256484e-13,25.9230371000794
"Itgb7",-3.82354910955594,4.52290222633906,-21.9417660137987,1.73085581875511e-15,1.11951754357081e-12,24.713402084369
"Spred1",1.59498178931166,6.76322979018088,21.7762288509329,2.00290625495588e-15,1.17770887791406e-12,25.5399070983262
"Tfrc",2.92088101996814,6.74888388652915,21.586337630983,2.9537396824641e-15,1.46959909739829e-12,25.1611539906239
"Gja1",-1.89903418361661,5.65494751793155,-21.5656768767915,2.41516227241683e-15,1.30177246483267e-12,25.3310093849773
"Zfp36l2",1.4739382995808,7.366230721673,21.257825333636,3.18508411745974e-15,1.4715088622664e-12,25.0609412033004
"Manba",1.52206895088619,5.77167992865536,20.1919066828861,8.54919387134457e-15,3.68641239732378e-12,24.0645431634025
"Gpnmb",1.4984560284214,9.49425762858149,19.9022050459992,1.12729636251691e-14,4.55709554547463e-12,23.6994629690264
"Cited2",1.48206472720141,8.06768205171073,19.7155697185566,1.34977972647718e-14,5.13551486520849e-12,23.5912999296409
"Pros1",2.45272287461513,4.33861617722346,19.6031376225003,1.50560646434178e-14,5.41014589520146e-12,23.2729868788733
"Gde1",-1.3385719967389,6.54898717395928,-19.5221375642621,1.62947639612968e-14,5.54708070008777e-12,23.4418393226215
"Ppp2r5a",1.21053631562064,6.39389175895352,19.2397552207872,2.15163288304604e-14,6.9583807437709e-12,23.1676353628188
